Reference	Sentence
Written miscellaneous	<s> He turned round and continued to stare at me. </s>
Written miscellaneous	<s> I was wearing a large theatrical ring with an enormous ''emerald'' surrounded by paste diamonds and he bent more closely to look at it. </s>
Written books and periodicals	"<s> These same authors also derived the instability threshold condition, here expressible as: &formula; Consideration of the effect on the above expression of varying the various decay rates shows that the right side of the above inequality will always be greater than nine, which implies a pumping rate at least nine times above the laser threshold. </s>"
Written miscellaneous	"<s> There are five main content areas in which these mysteries are enunciated, namely : Scripture, Doctrine, Liturgy, Life Experience and Morality. </s>"
Written books and periodicals	"<s> * In a report to the European Commission, Friends of the Earth (FOE) criticised the arrangement whereby Marchon is licensed by the Government to pump large quantities of cadmium into the sea. </s>"
Written miscellaneous	"<s> While this information has potential for contemporary target marketing campaigns, it would be immensely valuable to historians studying late twentieth-century Britain. </s>"
Written books and periodicals	"<s> Nevertheless the erosion of such landscapes can expose the successive lava flows which may then form low, but laterally persistent, cliff-like faces in which the hexagonal joint patterns that are sometimes developed in basalt are visible. </s>"
Written books and periodicals	"<s> On the other hand, in a Keynesian model where an increase in the supply of money can generally be expected to have real effects, i.e. where output will rise, the private sector will be able rationally to predict these quantity effects from the correct model (in this case Keynesian) which is included in the information set . </s>"
Written books and periodicals	"<s> Ken hadn''t wanted to go, but Horne had insisted. </s>"
Written books and periodicals	"<s> Indeed, that initiative led later to such common ventures as the European Convention on Human Rights and the EEC . </s>"
Written books and periodicals	"<s> Attendance at school, and particularly at certain schools, can be important also in providing an environment that can serve to reinforce certain norms and traditions. </s>"
Written books and periodicals	"<s> In registration there is no procedure analogous to the American practice of registering as a Republican, Democrat, or Independent: given the absence of primary elections in Britain, there is no logical reason why one should. </s>"
Written books and periodicals	"<s> In the 1979 election the Labour and Conservative national party organizations are estimated to have each spent a little over 1 million pounds on the campaign, roughly the same amount expended in total by their candidates in the local campaigns. </s>"
Written books and periodicals	"<s> "" I''ve sent her to bed,"" Sara said,"" She works too hard as it is, for an old woman her age,"" </s>"
Written books and periodicals	"<s> Section 76(1) (f)"" LPA 1925"", specifies that the covenant set out in Sched 2, Pt VI , is implied when the conveyance is made under an order of the court. </s>"
Written books and periodicals	"<s> She was still grimacing from the shock of it as Guido swept from the room, announcing over his shoulder, ''So, you''d better deliver the goods - or else I will!'' </s>"
Written books and periodicals	"<s> '' He''s got a class, I''m afraid.'' </s>"
Written books and periodicals	<s> He stopped in front of the taller man and held up the parcel in his hand. </s>
Written books and periodicals	<s> Niall drained his glass and looked at his watch. </s>
Written books and periodicals	"<s> Without even being aware of it she had half turned, her eyes widening with panic, only to feel the gentle but firm pressure of Niall''s hand beneath her elbow. </s>"
Written books and periodicals	"<s> Even when he was no longer a part of her life, at least she would have her memories. </s>"
Written books and periodicals	"<s> With a little moan of fear she scrambled out of the car and raced to the house to hammer on the door, but it opened at the first blow from her fist. </s>"
Written books and periodicals	"<s> She stared at the people in the pool, who had all seemed to respond to the whistle and were looking at someone who stood at the poolside, someone obscured from Rachel''s vision by the attendant''s tall chair. </s>"
Written books and periodicals	<s> ''But then I wouldn''t; I didn''t know many of the medical team - they were Jennifer''s friends rather than mine.'' </s>
Written books and periodicals	<s> Thus a tenancy granted until the land was required for road widening was void for uncertainty (Prudential Assurance Co v London Residuary Body [1992] 3 All ER 504). </s>
Written books and periodicals	"<s> It is suggested in Bramwell on Taxation of Companies and Company Reconstructions that this might constitute a value-shifting arrangement entitling the Revenue to adjust the consideration on a disposal of Target''s shares, though the Revenue have indicated that payments for group relief would not usually constitute value shifting-see the Institute of Chartered Accountants'' Technical Release TR 291. </s>"
Written books and periodicals	"<s> The first is that a clause will be implied if it is necessary for the"" business efficacy"" of the contract, and would have been accepted at once by both parties when making the contract: The Moorcock (1889) 14 PD 64 at 68. </s>"
Written books and periodicals	"<s> The inclusion of this clause enables him to recover all loss , however remote, (provided he can prove causation) suffered as a result of the sellers''s wrongful acts, since the seller has, by the clause, undertaken an express obligation to compensate him for such loss. </s>"
Written books and periodicals	"<s> If the defendant files an admission of the whole or part of the claim within 14 days of service, notice is sent in N 227 to the plaintiff, who may then apply, on notice to the defendant before the return day, for judgment for the whole, or that part of the claim, which the defendant admits, without waiting for any other issues to be resolved. </s>"
Written books and periodicals	"<s> The court will check the court records to see if instalments have been made and any"" pass through"" must be taken into account. </s>"
Written books and periodicals	"<s> It is possible, for example, to place nine of my readings of SF texts at the nine nodes, according to my judgement as a single reader. </s>"
Written books and periodicals	<s> 2.15.7 all Pipes equipment and apparatus used in the Centre (except such as are within and solely serve an individual unit which is let or constructed or adapted for letting) </s>
Written books and periodicals	<s> 9.13.3 the Tenant shall indemnify the Landlord against any damage occasioned to the Premises and any actions claims proceedings cost expenses and demands made against the Landlord caused by or related to the presence of the property in or on the Premises This provision has become rather popular of late and it is difficult to argue against its inclusion. </s>
Written books and periodicals	"<s> As an exception to this rule, secured or unsecured loans or credits may be granted to a customer by the firm to fund a margin requirement provided that a credit assessment is made of the customer by an employee of the firm who is independent of the trading or marketing functions of the firm (eg the compliance officer), and the maximum amount of the loan or credit to be granted has been notified to the customer and, in respect of a private customer, has been set out in writing and agreed by the customer in accordance with Rule 5-27 (customer borrowing). </s>"
Written books and periodicals	"<s> Settlement and accordingly settled property for the purposes of TCGA 1992, s87(1) are defined by reference to the definition in Part XV of the Taxes Act 1988 (see TCGA 1992, s97(7)). </s>"
Written books and periodicals	<s> In many cases a distinction has to be drawn between : 1. </s>
Written books and periodicals	<s> Megaw LJ agreed with Denning MR but Browne LJ dissented: he said that the majority were effectively remaking the contract which was something which the court was not entitled to do. </s>
Written books and periodicals	"<s> Secondly, that where information becomes publicly available through the actions of the plaintiff the courts will more readily find that the information no longer has the requisite quality of confidence than where publication is by a third party. </s>"
Written books and periodicals	"<s> Obviously, an employee is free to apply for another position even with a rival of his present employer, or to find premises in which to set up a future business so long as in doing so he is not in breach of any valid express term in his employment contract: see Searle (GD) & Co Ltd v Celltech Ltd [1982] FSR 92. </s>"
