,word,frequency,length
0,the,6866,3
1,of,4464,2
2,and,2931,3
3,to,2187,2
4,in,1758,2
5,a,1007,1
6,for,943,3
7,on,885,2
8,that,663,4
9,by,508,2
10,with,468,4
11,united,461,6
12,as,450,2
13,be,409,2
14,international,369,13
15,nations,353,7
16,general,341,7
17,at,340,2
18,its,309,3
19,is,279,2
20,which,270,5
21,committee,256,9
22,states,253,6
23,development,248,11
24,rights,242,6
25,s,235,1
26,republic,234,8
27,from,231,4
28,or,229,2
29,was,228,3
30,an,223,2
31,it,218,2
32,human,203,5
33,this,198,4
34,are,187,3
35,their,176,5
36,council,174,7
37,report,170,6
38,assembly,170,8
39,should,168,6
40,have,167,4
41,resolution,162,10
42,has,160,3
43,had,155,3
44,other,151,5
45,all,147,3
46,secretary,142,9
47,under,141,5
48,security,140,8
49,been,140,4
50,not,139,3
51,would,134,5
52,countries,133,9
53,economic,131,8
54,new,131,3
55,programme,130,9
56,conference,127,10
57,national,122,8
58,also,116,4
59,session,116,7
60,world,114,5
61,government,114,10
62,social,113,6
63,activities,112,10
64,will,111,4
65,may,108,3
66,cooperation,107,11
67,information,105,11
68,peace,105,5
69,special,102,7
70,no,102,2
71,were,100,4
72,such,99,4
73,organization,96,12
74,convention,95,10
75,organizations,93,13
76,people,92,6
77,law,92,3
78,including,91,9
79,non,90,3
80,political,89,9
81,support,87,7
82,commission,87,10
83,system,85,6
84,state,85,5
85,made,83,4
86,regional,82,8
87,i,82,1
88,those,82,5
89,arab,82,4
90,between,78,7
91,meeting,78,7
92,draft,78,5
93,his,77,3
94,programmes,76,10
95,article,76,7
96,implementation,75,14
97,well,75,4
98,action,74,6
99,resources,74,9
100,assistance,74,10
101,country,73,7
102,members,72,7
103,women,71,5
104,into,71,4
105,work,70,4
106,any,68,3
107,these,67,5
108,we,65,2
109,president,64,9
110,order,64,5
111,measures,64,8
112,education,63,9
113,africa,63,6
114,one,63,3
115,following,62,9
116,number,62,6
117,group,61,5
118,persons,61,7
119,right,61,5
120,areas,60,5
121,efforts,60,7
122,community,60,9
123,view,60,4
124,parties,60,7
125,against,59,7
126,training,59,8
127,paragraph,59,9
128,december,59,8
129,b,58,1
130,them,58,4
131,services,58,8
132,through,58,7
133,per,57,3
134,further,57,7
135,out,57,3
136,south,57,5
137,situation,57,9
138,member,57,6
139,agenda,56,6
140,first,56,5
141,within,55,6
142,he,54,2
143,population,53,10
144,secretariat,53,11
145,decision,52,8
146,use,52,3
147,centre,52,6
148,time,51,4
149,shall,51,5
150,consideration,50,13
151,public,50,6
152,provisions,50,10
153,african,50,7
154,they,50,4
155,who,50,3
156,could,50,5
157,representative,50,14
158,regard,50,6
159,relevant,50,8
160,working,50,7
161,take,50,4
162,children,49,8
163,respect,49,7
164,high,49,4
165,provide,49,7
166,agreement,49,9
167,adopted,48,7
168,more,48,4
169,two,48,3
170,technical,48,9
171,since,48,5
172,our,48,3
173,resolutions,48,11
174,developing,47,10
175,management,47,10
176,held,47,4
177,office,46,6
178,basis,46,5
179,reports,46,7
180,region,46,6
181,issues,46,6
182,up,46,2
183,there,45,5
184,governmental,45,12
185,level,45,5
186,financial,45,9
187,former,45,6
188,process,45,7
189,federation,45,10
190,particularly,44,12
191,some,44,4
192,coordination,44,12
193,year,44,4
194,service,44,7
195,technology,43,10
196,fund,43,4
197,refugees,43,8
198,during,43,6
199,cent,43,4
200,democratic,43,10
201,agencies,43,8
202,related,42,7
203,protection,42,10
