,word,frequency,length
0,the,5137,3
1,and,3049,3
2,of,2070,2
3,i,1600,1
4,a,1557,1
5,in,1244,2
6,to,1197,2
7,you,924,3
8,that,751,4
9,with,749,4
10,my,736,2
11,is,652,2
12,for,531,3
13,me,515,2
14,it,497,2
15,on,478,2
16,not,452,3
17,as,442,2
18,he,402,2
19,all,392,3
20,was,381,3
21,your,376,4
22,her,374,3
23,are,364,3
24,have,355,4
25,his,343,3
26,but,341,3
27,from,335,4
28,they,316,4
29,at,297,2
30,like,297,4
31,there,289,5
32,we,277,2
33,one,245,3
34,their,240,5
35,by,236,2
36,so,233,2
37,she,227,3
38,love,226,4
39,be,226,2
40,no,224,2
41,when,222,4
42,or,202,2
43,will,197,4
44,what,191,4
45,where,188,5
46,little,186,6
47,this,183,4
48,him,182,3
49,out,180,3
50,who,180,3
51,through,165,7
52,were,164,4
53,old,155,3
54,them,155,4
55,shall,151,5
56,night,149,5
57,over,146,4
58,our,143,3
59,heart,138,5
60,day,134,3
61,life,133,4
62,down,133,4
63,upon,132,4
64,white,130,5
65,long,130,4
66,o,128,1
67,then,126,4
68,had,125,3
69,an,125,2
70,up,125,2
71,do,125,2
72,am,125,2
73,men,124,3
74,has,123,3
75,eyes,122,4
76,if,121,2
77,now,120,3
78,know,117,4
79,can,115,3
80,wind,113,4
81,sun,112,3
82,come,112,4
83,man,112,3
84,would,111,5
85,god,110,3
86,world,109,5
87,us,109,2
88,go,106,2
89,into,105,4
90,never,104,5
91,more,104,4
92,sea,104,3
93,see,102,3
94,than,101,4
95,how,99,3
96,earth,98,5
97,its,97,3
98,song,96,4
99,away,96,4
100,still,94,5
101,great,94,5
102,thy,93,3
103,face,93,4
104,soul,92,4
105,light,92,5
106,yet,92,3
107,said,91,4
108,far,89,3
109,death,88,5
110,dead,87,4
111,let,87,3
112,some,86,4
113,could,85,5
114,blue,85,4
115,oh,84,2
116,may,83,3
117,red,83,3
118,hand,82,4
119,stars,82,5
120,again,81,5
121,last,81,4
122,under,81,5
123,dark,78,4
124,thee,77,4
125,sky,76,3
