,word,frequency,length
0,de,8766,2
1,la,4529,2
2,y,2860,1
3,el,2603,2
4,en,2467,2
5,los,1980,3
6,a,1907,1
7,las,1810,3
8,que,1791,3
9,del,1512,3
10,para,889,4
11,se,850,2
12,por,684,3
13,con,642,3
14,un,555,2
15,al,509,2
16,sobre,508,5
17,una,463,3
18,su,421,2
19,naciones,356,8
20,unidas,348,6
21,general,345,7
22,no,327,2
23,internacional,285,13
24,desarrollo,277,10
25,estados,274,7
26,como,258,4
27,derechos,238,8
28,república,237,9
29,o,229,1
30,sus,200,3
31,humanos,192,7
32,entre,190,5
33,ha,188,2
34,comité,182,6
35,países,182,6
36,consejo,178,7
37,comisión,170,8
38,asamblea,166,8
39,resolución,163,10
40,período,160,7
41,programa,160,8
42,seguridad,157,9
43,informe,156,7
44,más,153,3
45,es,147,2
46,sesiones,144,8
47,secretario,141,10
48,actividades,135,11
49,lo,134,2
50,e,124,1
51,conferencia,121,11
52,sr,115,2
53,organización,115,12
54,miembros,115,8
55,programas,113,9
56,también,112,7
57,medidas,110,7
58,información,108,11
59,paz,107,3
60,este,106,4
61,cooperación,105,11
62,derecho,104,7
63,proyecto,104,8
64,han,102,3
65,organizaciones,102,14
66,gobierno,102,8
67,recursos,98,8
68,artículo,97,8
69,respecto,96,8
70,mundial,95,7
71,presidente,93,10
72,especial,92,8
73,trabajo,91,7
74,aplicación,89,10
75,servicios,88,9
76,convención,88,10
77,parte,87,5
78,sin,86,3
79,todos,85,5
80,párrafo,84,7
81,así,81,3
82,fin,81,3
83,esta,81,4
84,internacionales,80,15
85,sistema,80,7
86,asistencia,79,10
87,estado,78,6
88,social,78,6
89,contra,77,6
90,situación,75,9
91,medio,75,5
92,ley,75,3
93,partes,74,6
94,apoyo,73,5
95,dólares,72,7
96,nueva,72,5
97,grupo,71,5
98,carta,71,5
99,acuerdo,68,7
100,nacional,68,8
101,otras,67,5
102,unidos,67,6
103,ser,67,3
104,otros,66,5
105,cuestiones,64,10
106,acción,63,6
107,políticas,63,9
108,diciembre,63,9
109,disposiciones,63,13
110,si,61,2
111,todas,61,5
112,decisión,61,8
113,nacionales,61,10
