,word,frequency,length
0,de,3539,2
1,la,2345,2
2,el,1971,2
3,y,1868,1
4,en,1777,2
5,que,1449,3
6,a,854,1
7,los,821,3
8,las,752,3
9,del,691,3
10,su,656,2
11,tu,652,2
12,un,614,2
13,mi,505,2
14,con,499,3
15,al,468,2
16,es,419,2
17,no,410,2
18,por,407,3
19,se,404,2
20,sus,392,3
21,una,296,3
22,como,253,4
23,tus,240,3
24,te,192,2
25,alma,190,4
26,amor,181,4
27,más,170,3
28,lo,163,2
29,para,163,4
30,me,161,2
31,mis,157,3
32,the,155,3
33,sin,154,3
34,vida,140,4
35,cuando,133,6
36,yo,126,2
37,si,126,2
38,ya,119,2
39,luz,116,3
40,of,113,2
41,patria,105,6
42,siempre,99,7
43,españa,97,6
44,entre,95,5
45,ha,94,2
46,sol,94,3
47,sobre,91,5
48,gloria,90,6
49,oh,87,2
50,tú,86,2
51,ni,85,2
52,todo,85,4
53,corazón,81,7
54,bajo,79,4
55,le,78,2
56,mundo,77,5
57,son,76,3
58,flores,75,6
59,nos,75,3
60,tierra,73,6
61,fué,73,3
62,triste,72,6
63,to,72,2
64,cual,71,4
65,noche,70,5
66,o,69,1
67,mar,69,3
68,project,68,7
69,hay,68,3
70,qué,67,3
71,todos,67,5
72,flor,67,4
73,or,66,2
74,pero,66,4
75,dos,65,3
76,you,65,3
77,dolor,65,5
78,donde,64,5
79,porque,64,6
80,tan,62,3
81,and,62,3
82,ojos,62,4
83,frente,59,6
84,rizal,58,5
85,hasta,58,5
86,día,58,3
87,manila,57,6
88,sólo,57,4
89,sangre,57,6
90,madre,56,5
91,in,55,2
92,poeta,54,5
93,nuestra,54,7
94,cielo,53,5
95,muy,52,3
96,este,51,4
97,pecho,50,5
98,nota,50,4
99,oro,48,3
100,voz,48,3
101,cruz,48,4
102,toda,47,4
103,dulce,45,5
104,dios,45,4
105,han,45,3
106,he,45,2
107,tí,44,2
108,mientras,44,8
109,hoy,44,3
110,this,44,4
111,filipinas,43,9
112,nuevo,42,5
113,está,42,4
114,también,42,7
115,vez,41,3
116,bien,41,4
117,gran,40,4
118,versos,40,6
119,work,40,4
120,almas,40,5
121,manos,39,5
122,eres,39,4
123,paz,39,3
124,allí,39,4
125,así,39,3
126,mas,38,3
127,mil,38,3
128,esta,38,4
129,pueblo,37,6
130,ser,37,3
131,ante,37,4
132,tiempo,37,6
133,pesetas,37,7
134,ideal,36,5
135,muerte,35,6
136,azul,35,4
137,años,35,4
138,with,34,4
139,fin,34,3
140,aquel,34,5
141,amores,33,6
142,tomo,33,4
143,fé,33,2
144,rosas,33,5
145,aunque,33,6
146,todas,33,5
147,hombre,33,6
148,esa,33,3
149,sueño,33,5
150,nombre,32,6
151,alas,32,4
152,any,32,3
153,raza,31,4
154,nunca,31,5
