Reference	EN	ES
doc#1	"<s> Draft Decision III/3 , as amended , was adopted . </s>"	"<s> Se aprobó el proyecto de decisión III/3 , en su forma enmendada . </s>"
doc#3	"<s> If that were to be achieved , general programmes should be stepped up and priorities reoriented , while UNHCR '' s programme capacity should be strengthened . </s>"	"<s> Para ello habría que reforzar los Programas generales reorientando al mismo tiempo las prioridades , y fortalecer la capacidad de los programas en el ACNUR . </s>"
doc#28	"<s> At present public debt was at about the same level as gross domestic product , leaving a very narrow margin for manoeuvre . </s>"	"<s> En estos momentos , la deuda pública se encuentra al mismo nivel que el producto interno bruto , lo que deja un margen de acción muy escaso . </s>"
doc#42	"<s> Within three years of the date of entry into force of this paragraph , the Parties shall , following the procedures in Article 10 of the Convention , elaborate in an annex a list of products containing controlled substances in Group II of Annex C. Parties that have not objected to the annex in accordance with those procedures shall ban , within one year of the annex having become effective , the import of those products from any State not party to this Protocol . </s>"	"<s> En el plazo de tres años a partir de la entrada en vigor de las disposiciones del presente párrafo , las Partes , conforme a los procedimientos previstos en el artículo 10 del Convenio , establecerán en un anexo una lista de productos que contengan sustancias controladas que figuren en el Grupo II del anexo C. Las Partes que no hayan formulado objeciones al anexo conforme a los procedimientos mencionados prohibirán , en el plazo de un año a partir de la entrada en vigor del anexo , la importación de esos productos procedente de cualquier Estado que no sea Parte en el presente Protocolo . </s>"
doc#51	<s> Research and teaching activities and activities in the legal and cultural fields </s>	"<s> Investigaciones y enseñanza , actividades judiciales y culturales : </s>"
doc#51	"<s> Consultant to the Centre for Social Development and Humanitarian Affairs of the United Nations Secretariat ( Vienna , 1983-1984 ) . </s>"	<s> Consultor del Centro de Desarrollo Social y Asuntos Humanitarios de la </s><s> Secretaría de las Naciones Unidas ( Viena 1983-1984 ) . </s>
doc#51	"<s> Report of the Inquiry Commission of the I.L.O. concerning Romania , in </s>"	"<s> Informe de la Comisión de Encuesta de la OIT sobre Rumania , en colaboración , </s>"
doc#54	<s> RAMIRO DE LEON CARPIO RAFAEL LEONARDO CALLEJAS </s>	<s> Ramiro DE LEON CARPIO Rafael Leonardo CALLEJAS </s>
doc#80	<s> The use of terrestrial communications systems was severely restricted owing to the need to install repeaters along the communication routes . </s>	<s> La utilización de sistemas de comunicaciones terrestres estaba gravemente limitada debido a que era necesario instalar repetidoras a lo largo de las rutas de comunicación . </s>
doc#82	"<s> 7 . Decides further that there shall be set off against the apportionment among Member States , as provided in paragraph of the present resolution , their respective share in the unencumbered balance of 66,201,100 dollars gross ( 64,981,100 dollars net ) for the period from 1 May 1992 to 30 April 1993 ; </s>"	"<s> 7 . </s><s> Decide además que se deduzcan de las cuotas asignadas a los Estados Miembros en virtud del párrafo 6 de la presente resolución , sus respectivas participaciones en el saldo no comprometido de 66.201.100 dólares en cifras brutas ( 64.981.100 dólares en cifras netas ) para el período comprendido entre el 1º de mayo de 1992 y el 30 de abril de 1993 ; </s>"
doc#90	"<s> The report also includes information on all expenditures incurred by the United Nations for first-class travel and on the meetings attended by eminent persons for whom exceptions have been made for first-class air travel , as requested by the Assembly in its decision 40/455 of 18 December 1985 and section XIII of its resolution 45/248/A of 21 December 1990 . </s>"	"<s> Como pidió también la Asamblea en su decisión 40/455 , de 18 de diciembre de 1985 , y en la sección XIII de su resolución 45/248 A , de 21 de diciembre de 1990 , en el informe se incluye información sobre todos los gastos de viajes en primera clase efectuados por las Naciones Unidas y sobre las reuniones a que han asistido las personalidades eminentes respecto de las cuales se han autorizado excepciones para que viajen en avión en primera clase . </s>"
doc#90	"<s> 26 . The Advisory Committee was recommending that , subject to the guidelines for the use and operation of the contingency fund , an additional appropriation of $71,300 should be approved under section 21 ( Social development and humanitarian affairs ) of the programme budget for the biennium 1992-1993 , in addition to an amount of $14,800 under section 36 ( Staff assessment ) , to be offset by an increase in the same amount under income section 1 ( Income from staff assessment ) . ( See A/C.5/47/SR.45 , paras . 48-51 . ) </s>"	"<s> 26 . </s><s> La Comisión Consultiva recomendó que , a reserva de las directrices para la utilización y funcionamiento del fondo para imprevistos , se aprobara una consignación adicional de 71.300 dólares en la sección 21 ( Desarrollo social y asuntos humanitarios ) del presupuesto por programas para el bienio 1992-1993 , además de una cuantía de 14.800 dólares en la sección 36 ( Contribuciones del personal ) , que se habría de compensar mediante un aumento de la misma cantidad en la sección 1 de ingresos ( Ingresos por concepto de contribuciones del personal ) . ( Véase A/C.5/47/SR.45 , párrs . 48 a 51 . ) </s>"
doc#93	"<s> 5 . Decides also , as an ad hoc arrangement , to apportion the amount of 85 million dollars net , for the period from 1 May 1993 to the end of its mandate , in accordance with Security Council resolution 860 ( 1993 ) , among Member States in accordance with the composition of groups set out in paragraphs 3 and 4 of General Assembly resolution 43/232 of 1 March 1989 , as adjusted by the Assembly in its resolutions 44/192 B of 21 December 1989 , 45/269 of 27 August 1991 , 46/198 A of 20 December 1991 and 47/218 of 23 December 1992 , and taking into account the scale of assessments set out in resolution 46/221 A of 20 December 1991 and decision 47/456 of 23 December 1992 ; </s>"	"<s> 5 . </s><s> Decide también , como arreglo especial , prorratear entre los Estados Miembros la suma de 85_millones de dólares en cifras netas para el período comprendido entre el 1º de mayo de 1993 y el final del mandato , de conformidad con la resolución 860 ( 1993 ) del Consejo de Seguridad , con arreglo a la composición de los grupos indicada en los párrafos 3 y 4 de la resolución 43/232 de la Asamblea General , de 1º de marzo de 1989 , tal como fue modificada por la Asamblea en sus resoluciones 44/192 B , de 21 de diciembre de 1989 , 45/269 , de 27 de agosto de 1991 , 46/198 A , de 20 de diciembre de 1991 , y 47/218 , de 23 de diciembre de 1992 , y teniendo en cuenta la escala de cuotas establecida en la resolución 46/221 A , de 20 de diciembre de 1991 , y la decisión 47/456 , de 23 de diciembre de 1992 ; </s>"
doc#106	"<s> Provision is made for the initial three months of the Mission , for interpretation , laundering , tailoring , haircutting , shoe repairs , security services , garbage removal and other services for the troops that are to be provided through a commercial contractor who served UNITAF ( $3,270,000 ) . </s>"	"<s> 113 . </s><s> Se prevén créditos para la prestación de servicios de interpretación , lavandería , sastrería , peluquería , reparación de calzado , servicios de seguridad , recolección de basura y otros servicios a las tropas durante el trimestre inicial de la misión utilizando el mismo contratista comercial que fue utilizado por la Fuerza de Tareas Unificada ( 3.270.000 dólares ) . </s>"
doc#106	"<s> The cost estimate provides for subscriptions to international newspapers , daily and weekly local newspapers , as well as airways guides , communications data publications and other technical publication requirements . </s>"	"<s> 47 . </s><s> La estimación de gastos prevé la suscripción a periódicos internacionales , diarios y semanarios locales y guías de aerolíneas , publicaciones con datos sobre comunicaciones y otras publicaciones técnicas . </s>"
doc#108	"<s> 9 . Statements in explanation of position were made by the representatives of the United Kingdom of Great Britain and Northern Ireland , Brazil , Algeria , Austria , China , the United States of America , Nigeria , Portugal , Ghana , Zimbabwe and Kenya ( see A/C.5/47/SR.66 ) . </s>"	"<s> 9 . </s><s> Hicieron declaraciones para explicar su posición los representantes del Reino Unido de Gran Bretaña e Irlanda del Norte , el Brasil , Argelia , Austria , China , los Estados Unidos de América , Nigeria , Portugal , Ghana , Zimbabwe y Kenya ( véase A/C.5/47/SR.66 ) . </s>"
doc#108	<s> secretariat services </s>	<s> de secretaría </s>
doc#127	<s> 15 . The proposals for transferring the Council '' s mandate and functions elsewhere in the United Nations system are a manifestation of the search for the most effective institutional arrangements for solving food and hunger problems in a changing world and a changing United Nations . </s>	<s> 15 . </s><s> Las propuestas para transferir el mandato y las funciones del Consejo a otro sector del sistema de las Naciones Unidas son una genuina demostración de la búsqueda de arreglos institucionales más eficaces para resolver los problemas del hambre y la alimentación en el contexto de un mundo y unas Naciones Unidas en evolución . </s>
doc#143	"<s> 52 . In response to the statement by the President of the Security Council of 31 March 1993 ( S/25493 ) I am reviewing the Organization '' s security arrangements , with a view to enhancing its capacity to deal with dangers facing its staff . </s>"	"<s> 52 . </s><s> En respuesta a la declaración del Presidente del Consejo de Seguridad de fecha 31 de marzo de 1993 ( E/25493 ) , estoy examinando las disposiciones que aplica la organización en materia de seguridad con miras a aumentar su capacidad de hacer frente a los peligros que amenazan a su personal . </s>"
doc#145	"<s> The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country , territory or area , or of its authorities . </s>"	"<s> Las designaciones empleadas no llevan implícita en absoluto la expresión de opinión alguna de la Secretaría de las Naciones Unidas en lo concerniente a la situación jurídica de ningún país , territorio o región , ni de sus autoridades . </s>"
doc#161	"<s> 10 . In view of the aforesaid , the Committee requests that the Secretary-General submit to the General Assembly a detailed and up-to-date performance report on UNTAC for the period from 1 November 1991 to 31 August 1993 , including the additional requirements for the period from 1 May to 31 July 1993 , taking into account its observations in paragraphs 6 to 9 above . </s>"	"<s> 10 . </s><s> Habida cuenta de lo antedicho , la Comisión pide al Secretario General que presente a la Asamblea General un informe sobre la ejecución de la APRONUC detallado y actualizado para el período comprendido entre el 1º de noviembre de 1991 y el 31 de agosto de 1993 , en que se incluyan las necesidades adicionales para el período comprendido entre el 1º de mayo y el 31 de julio de 1993 , teniendo en cuenta las observaciones formuladas en los párrafos 6 a 9 supra . </s>"
